fecha,clae2,w_median
2020-01-01,81,27827
2020-01-01,82,34103
2020-01-01,85,28798
2020-01-01,86,48035
2020-01-01,87,37387
2020-01-01,88,37549
2020-01-01,90,30000
2020-01-01,91,41473
2020-01-01,92,45800
2020-01-01,93,33718
2020-01-01,94,49655
2020-01-01,95,41457
2020-01-01,96,28332
2020-01-01,999,46900
2020-02-01,1,31956
2020-02-01,2,26557
2020-02-01,3,66153
2020-02-01,5,-99
2020-02-01,6,226826
2020-02-01,7,151338
2020-02-01,8,54273
2020-02-01,9,149934
2020-02-01,10,51306
2020-02-01,11,59103
2020-02-01,12,78927
2020-02-01,13,38317
2020-02-01,14,38277
2020-02-01,15,41928
2020-02-01,16,29346
2020-02-01,17,56584
2020-02-01,18,44436
2020-02-01,19,114704
2020-02-01,20,68761
2020-02-01,21,95341
2020-02-01,22,49330
2020-02-01,23,54135
2020-02-01,24,68433
2020-02-01,25,37942
2020-02-01,26,53537
2020-02-01,27,45641
2020-02-01,28,44919
2020-02-01,29,71559
2020-02-01,30,42257
2020-02-01,31,36629
2020-02-01,32,44940
2020-02-01,33,47660
2020-02-01,35,101860
2020-02-01,36,65247
2020-02-01,37,52836
2020-02-01,38,79001
2020-02-01,39,65345
2020-02-01,41,28004
2020-02-01,42,55053
2020-02-01,43,37394
2020-02-01,45,45915
2020-02-01,46,48252
2020-02-01,47,44495
2020-02-01,49,67995
2020-02-01,50,99886
2020-02-01,51,122650
2020-02-01,52,54961
2020-02-01,53,60670
2020-02-01,55,41409
2020-02-01,56,22083
2020-02-01,58,48694
2020-02-01,59,45853
2020-02-01,60,71305
2020-02-01,61,87695
2020-02-01,62,73443
